iter	Passed	Remaining
0	102	102432
1	206	102814
2	307	102101
3	426	106264
4	570	113622
5	690	114413
6	801	113698
7	902	111945
8	1008	111049
9	1124	111289
10	1286	115637
11	1425	117394
12	1572	119354
13	1702	119870
14	1817	119366
15	1931	118806
16	2050	118593
17	2179	118879
18	2292	118390
19	2408	118013
20	2518	117411
21	2631	116993
22	2730	115972
23	2819	114664
24	2930	114305
25	3139	117602
26	3275	118042
27	3390	117685
28	3496	117065
29	3596	116292
30	3695	115501
31	3791	114678
32	3881	113739
33	3981	113124
34	4109	113304
35	4244	113664
36	4349	113199
37	4456	112816
38	4565	112498
39	4664	111938
40	4788	111994
41	4896	111682
42	5020	111745
43	5140	111686
44	5262	111680
45	5378	111544
46	5492	111365
47	5591	110898
48	5694	110518
49	5819	110577
50	5928	110319
51	6031	109950
52	6131	109556
53	6218	108943
54	6310	108430
55	6411	108085
56	6513	107757
57	6609	107340
58	6731	107362
59	6864	107538
60	6990	107603
61	7102	107460
62	7208	107219
63	7311	106934
64	7406	106543
65	7502	106176
66	7612	106010
67	7738	106064
68	7851	105937
69	7955	105697
70	8056	105413
71	8165	105246
72	8266	104979
73	8386	104947
74	8507	104928
75	8616	104764
76	8722	104557
77	8832	104408
78	8930	104108
79	9039	103953
80	9164	103975
81	9279	103882
82	9380	103641
83	9483	103413
84	9590	103244
85	9684	102929
86	9814	102996
87	9943	103051
88	10046	102839
89	10162	102753
90	10271	102604
91	10377	102423
92	10475	102162
93	10575	101933
94	10689	101827
95	10814	101840
96	10930	101752
97	11047	101678
98	11168	101640
99	11276	101486
100	11361	101126
101	11458	100878
102	11556	100640
103	11664	100497
104	11788	100483
105	11892	100299
106	11994	100100
107	12099	99932
108	12205	99769
109	12307	99578
110	12425	99518
111	12553	99529
112	12671	99465
113	12767	99226
114	12866	99017
115	12969	98838
116	13069	98634
117	13182	98534
118	13298	98454
119	13420	98416
120	13543	98386
121	13643	98190
122	13738	97956
123	13830	97708
124	13950	97652
125	14067	97582
126	14184	97506
127	14285	97316
128	14399	97222
129	14515	97142
130	14621	96990
131	14719	96793
132	14823	96629
133	14928	96481
134	15039	96362
135	15175	96409
136	15275	96227
137	15378	96057
138	15483	95911
139	15573	95668
140	15680	95527
141	15795	95441
142	15908	95340
143	16020	95232
144	16129	95110
145	16231	94940
146	16330	94760
147	16439	94640
148	16558	94572
149	16671	94470
150	16787	94390
151	16888	94222
152	16983	94021
153	17104	93961
154	17203	93785
155	17326	93740
